대분류,부처,부서,게시판,URL,Crawler 구분,wrap_tag,title_tag,time_tag,time_re,trim_str,url_flag,session
대학본부,교목처,교목팀,공지사항,http://kyomok.sogang.ac.kr/front/cmsboardlist.do?siteId=kyomok&bbsConfigFK=1101,1,"li,None,None,:","a,class,title,0","div,None,None,0/span,None,None,1",[0-9]{4}.[0-9]{2}.[0-9]{2},"<!-- 상단고정 시작 -->,<!-- List 끝 -->",TRUE,FALSE
,교목처,교목팀,월중행사일정,http://kyomok.sogang.ac.kr/front/cmsboardlist.do?siteId=kyomok&bbsConfigFK=1102,1,,,,,,,FALSE
,교목처,이냐시오인재센터,공지사항,http://voluntas.sogang.ac.kr/front/cmsboardlist.do?siteId=voluntas&bbsConfigFK=2479,1,,,,,,,FALSE
,교무처,교무팀,공지사항,http://acafice.sogang.ac.kr/front/cmsboardlist.do?siteId=acafice&bbsConfigFK=1382,1,,,,,,,FALSE
,교무처,학사지원팀,학사공지,http://sogang.ac.kr/front/boardlist.do?bbsConfigFK=2,2,"tr,None,None,:","a,None,None,0","td,None,None,4",[0-9]{4}.[0-9]{2}.[0-9]{2},"<tbody>,</tbody>",TRUE,FALSE
,교무처,종합봉사팀,공지사항,http://sogang.ac.kr/front/boardlist.do?bbsConfigFK=3,2,,,,,,,FALSE
,입학처,입학팀,통합공지사항,http://admission.sogang.ac.kr/admission/html/counsel/notice.asp,3,"tr,None,None,:","a,None,None,0","dd,None,None,1",[0-9]{4}.[0-9]{2}.[0-9]{2},"<tbody>,</tbody>",FALSE,FALSE
,학생문화처,학생지원팀,장학공지,http://sogang.ac.kr/front/boardlist.do?bbsConfigFK=33,2,,,,,,,FALSE
,학생문화처,학생지원팀,공모전/모집/홍보,http://www.sogang.ac.kr/front/boardlist.do?bbsConfigFK=34,2,,,,,,,
,학생문화처,취업지원팀,공지사항,https://job.sogang.ac.kr/service/notice.aspx?boardid=3,,,,,,,,TRUE
,학생문화처,취업지원팀,행사정보,https://job.sogang.ac.kr/jobevent/list.aspx,,,,,,,,
,학생문화처,취업지원팀,전체 채용정보,https://job.sogang.ac.kr/jobs/sogang/all/,,,,,,,,
,학생문화처,취업지원팀,인턴쉽,https://job.sogang.ac.kr/jobs/intern/,,,,,,,,
,학생문화처,취업지원팀,대외활동정보,https://job.sogang.ac.kr/jobs/contest/etc.aspx?boardid=19,,,,,,,,
,학생문화처,취업지원팀,과외정보,https://job.sogang.ac.kr/alba/lesson/,,,,,,,,
,학생문화처,취업지원팀,아르바이트정보,https://job.sogang.ac.kr/alba/school/,,,,,,,,
,학생문화처,장애학생지원센터,HOT ISSUE,http://dasoni.sogang.ac.kr/front/cmsboardlist.do?siteId=dasoni&bbsConfigFK=461,1,,,,,,,
,학생문화처,장애학생지원센터,주요 공지사항,http://dasoni.sogang.ac.kr/front/cmsboardlist.do?siteId=dasoni&bbsConfigFK=447,1,,,,,,,
,학생문화처,장애학생지원센터,채용정보,http://dasoni.sogang.ac.kr/front/cmsboardlist.do?siteId=dasoni&bbsConfigFK=462,1,,,,,,,
,학생문화처,장애학생지원센터,장애대학 진로/취업지원 거점대학 프로그램,http://dasoni.sogang.ac.kr/front/cmsboardlist.do?siteId=dasoni&bbsConfigFK=2786,1,,,,,,,
,학생문화처,보건실,공지사항,http://scc.sogang.ac.kr/front/cmsboardlist.do?siteId=hs&bbsConfigFK=1138,1,,,,,,,
,학생문화처,보건실,이달의 건강소식,http://scc.sogang.ac.kr/front/cmsboardlist.do?siteId=hs&bbsConfigFK=1137,1,,,,,,,
,학생문화처,대학언론사 ,서강언론사,http://www.sgunews.com/news/articleList.html?view_type=sm,4,"div,class,list-block,:","a,None,None,0","div,class,list-dated,0",[0-9]{4}-[0-9]{2}-[0-9]{2},"<!-- 웹진형 //-->,<!--// 웹진형 -->",TRUE,FALSE
,학생문화처,대학언론사 ,서강헤럴드,http://www.sgherald.com/news/articleList.html?view_type=sm,4,,,,,,,
,총무처,예비군연대본부,공지사항,http://yebigun.sogang.ac.kr/front/cmsboardlist.do?siteId=yebigun&bbsConfigFK=441,1,,,,,,,
,관리처,구매팀 ,입찰공고,http://purchase.sogang.ac.kr/front/cmsboardlist.do?siteId=purchase&bbsConfigFK=782,1,,,,,,,
